Estacao;Comunidade;Dist.city;Cidade.próxima;Pop.urbana
Seca;6041;226937.643;ITAMARATI;4472
Cheia;Alegria;69230.656;CRUZEIRO DO SUL;55326
Seca;Alegria;66498.525;CRUZEIRO DO SUL;55326
Cheia;Alegria_2;69230.656;CRUZEIRO DO SUL;55326
Seca;Alegria_2;66498.525;CRUZEIRO DO SUL;55326
Cheia;Apuí;110661.89;SENA MADUREIRA;25112
Seca;Apuí;99725.869;SENA MADUREIRA;25112
Seca;B;215209.102;ITAMARATI;4472
Cheia;Bareira do ido;17860.671;CARAUARI;19744
Seca;Bareira do ido;32029.938;CARAUARI;19744
Cheia;BAUANA;144489.486;CARAUARI;19744
Seca;BAUANA;190735.519;CARAUARI;19744
Seca;Bebé;59936.614;BOCA DO ACRE;19231
Seca;Bom Jesus;251032.938;LÁBREA;24207
Cheia;Bom Jesus Jurua;130385.316;CARAUARI;19744
Seca;Bom Jesus Jurua;176850.519;CARAUARI;19744
Seca;Bonfim;133563.254;ITAMARATI;4472
Cheia;C;207705.704;CARAUARI;19744
Seca;C;245553.941;CARAUARI;19744
Seca;Capacini;66240.855;LÁBREA;24207
Seca;Cara_1;7260.244;CARAUARI;19744
Seca;Carauari I_Roca;2985.755;CARAUARI;19744
Seca;Carauari pe da terra;16389.565;CARAUARI;19744
Seca;Carauari Riozinho;16791.999;CARAUARI;19744
Seca;Carocal;210675.854;ITAMARATI;4472
Cheia;Cazumbá;63435.699;SENA MADUREIRA;25112
Seca;Cazumbá;44154.756;SENA MADUREIRA;25112
Cheia;Cuidado;75310.837;SENA MADUREIRA;25112
Seca;Cuidado;53595.803;SENA MADUREIRA;25112
Cheia;D;216698.29;CARAUARI;19744
Seca;D;254651.532;CARAUARI;19744
Seca;do arara;80256.165;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;E;121050.744;CARAUARI;19744
Seca;E;170134.287;CARAUARI;19744
Seca;Extrema;101205.416;BOCA DO ACRE;19231
Cheia;F;60311.468;CARAUARI;19744
Seca;F;85084.091;CARAUARI;19744
Seca;flechal;117983.995;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;FORTUNA;103627.622;CARAUARI;19744
Seca;FORTUNA;141084.437;CARAUARI;19744
Cheia;G;41303.808;CARAUARI;19744
Seca;G;67179.444;CARAUARI;19744
Cheia;Granja;86848.294;SENA MADUREIRA;25112
Seca;Granja;64344.303;SENA MADUREIRA;25112
Cheia;H;29425.96;CARAUARI;19744
Seca;H;37171.517;CARAUARI;19744
Seca;I;11729.947;CARAUARI;19744
Seca;ig do raimundo;22384.688;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;Imperatrix;124822.169;CARAUARI;19744
Seca;Imperatrix;170451.414;CARAUARI;19744
Seca;Independência;71783.429;LÁBREA;24207
Seca;Iutari;92077.024;LÁBREA;24207
Seca;J;10881.154;CARAUARI;19744
Cheia;Jair;110661.89;SENA MADUREIRA;25112
Seca;Jair;99725.869;SENA MADUREIRA;25112
Seca;L;11744.988;CARAUARI;19744
Seca;Lago do Alfredo;50977.711;BOCA DO ACRE;19231
Seca;Limão;94256.994;CRUZEIRO DO SUL;55326
Seca;Limeira;70678.054;PAUINI;9264
Seca;livramento;67452.423;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;Lua Nova;90663.73;SENA MADUREIRA;25112
Seca;Lua Nova;83298.912;SENA MADUREIRA;25112
Seca;M;92718.217;PRESIDENTE FIGUEIREDO;11097
Seca;macacaboi;114494.327;PRESIDENTE FIGUEIREDO;11097
Cheia;Maloca;304927.548;LÁBREA;24207
Seca;Maloca;267745.003;PAUINI;9264
Seca;Manitiã;87613.426;BOCA DO ACRE;19231
Seca;Mapes;24977.866;CRUZEIRO DO SUL;55326
Seca;Mapes_2;83729.666;CRUZEIRO DO SUL;55326
Seca;Maracaju;67338.36;BOCA DO ACRE;19231
Cheia;Matura;161739.053;CARAUARI;19744
Seca;Matura;208035.932;CARAUARI;19744
Seca;Moisés;62932.825;BOCA DO ACRE;19231
Seca;monte siao_1;18304.574;ITAPIRANGA;6451
Seca;Morro da Pedra;86827.324;CRUZEIRO DO SUL;55326
Seca;N;157956.366;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;nossa sra de fatima;37537.237;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;Nova Amélia;123043.401;BOCA DO ACRE;19231
Cheia;Nova Amélia;144638.983;SENA MADUREIRA;25112
Cheia;Novo Unaci;149373.214;CARAUARI;19744
Seca;Novo Unaci;198897.446;CARAUARI;19744
Seca;O;52132.109;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;P;58806.426;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;Panela;83298.912;SENA MADUREIRA;25112
Seca;Panela;90663.73;SENA MADUREIRA;25112
Seca;Periquito;116309.046;CRUZEIRO DO SUL;55326
Seca;Porongaba;166554.362;PAUINI;9264
Cheia;Providência;63179.49;SENA MADUREIRA;25112
Seca;Providência;53517.679;SENA MADUREIRA;25112
Cheia;Pupuai;79078.107;CARAUARI;19744
Seca;Pupuai;102389.627;CARAUARI;19744
Seca;Q;35229.168;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;R;124590.363;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;Redenção;100988.111;SENA MADUREIRA;25112
Seca;Redenção;72989.863;SENA MADUREIRA;25112
Seca;Remanso;263791.374;LÁBREA;24207
Cheia;Repouso;97502.876;SENA MADUREIRA;25112
Seca;Repouso;97704.727;SENA MADUREIRA;25112
Cheia;Rocha;146355.464;BOCA DO ACRE;19231
Seca;Rocha;121326.919;SENA MADUREIRA;25112
Cheia;ROQUE;91216.411;CARAUARI;19744
Seca;ROQUE;127875.81;CARAUARI;19744
Seca;S;107366.203;BOCA DO ACRE;19231
Seca;Santa Amélia;99726.699;SENA MADUREIRA;25112
Seca;Santa Rita;92637.033;CRUZEIRO DO SUL;55326
Cheia;Santa Rita;116758.11;IPIXUNA;9499
Seca;Santa Rita_2;94164.667;CRUZEIRO DO SUL;55326
Cheia;Santa Rita_2;115284.26;IPIXUNA;9499
Seca;Santana;33750.57;BOCA DO ACRE;19231
Seca;São Francisco;210743.644;LÁBREA;24207
Seca;sao francisco_1;70750.013;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;sao francisco_2;24564.469;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;sao francisco_3;29629.787;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;sao jao batista;127126.125;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;São João;103264.024;CRUZEIRO DO SUL;55326
Seca;São João;106224.749;IPIXUNA;9499
Cheia;São João_2;101060.482;CRUZEIRO DO SUL;55326
Seca;São João_2;108328.037;IPIXUNA;9499
Cheia;São José;107037.085;CRUZEIRO DO SUL;55326
Seca;São José;102451.688;IPIXUNA;9499
Cheia;Sao Jose (Anaxiqui);186667.744;ITAMARATI;4472
Seca;Sao Jose (Anaxiqui);246959.474;ITAMARATI;4472
Seca;sao jose do uatuma;77582.107;PRESIDENTE FIGUEIREDO;11097
Cheia;São Luiz;111249.973;CRUZEIRO DO SUL;55326
Seca;São Luiz;98669.564;IPIXUNA;9499
Cheia;São Luiz_2;111581.461;CRUZEIRO DO SUL;55326
Seca;São Luiz_2;95635.569;IPIXUNA;9499
Cheia;Sao Raimundo;204176.291;CARAUARI;19744
Seca;Sao Raimundo;246267.751;CARAUARI;19744
Seca;serra do bacabal;109578.918;SÃO SEBASTIÃO DO UATUMÃ;5904
Cheia;Sororoca;191319.44;ITAMARATI;4472
Seca;Sororoca;258369.597;ITAMARATI;4472
Seca;sta lucia jacarequar;53682.454;SÃO SEBASTIÃO DO UATUMÃ;5904
Seca;T;129552.668;BOCA DO ACRE;19231
Cheia;T;137711.977;SENA MADUREIRA;25112
Seca;tucumaiduba;147061.051;PRESIDENTE FIGUEIREDO;11097
Seca;U;125535.685;BOCA DO ACRE;19231
Cheia;U;142006.601;SENA MADUREIRA;25112
Cheia;V;146355.464;BOCA DO ACRE;19231
Seca;V;121326.919;SENA MADUREIRA;25112
Cheia;X;227726.156;CARAUARI;19744
Seca;X;265565.355;CARAUARI;19744
Seca;Xibaua;153982.925;ITAMARATI;4472
Seca;Xibauazinho;137376.813;ITAMARATI;4472
Cheia;Z;70339.051;CARAUARI;19744
Seca;Z;94432.655;CARAUARI;19744