camera_id;model
1012;Bushnell Trophy-Cam
1013;Bushnell Trophy-Cam
1014;Bushnell Trophy-Cam
1015;Bushnell Trophy-Cam
1021;Bushnell Trophy-Cam
1022;Reconyx HC500 Hyperfire
1023;Bushnell Trophy-Cam
1024;Bushnell Trophy-Cam
1025;Bushnell Trophy-Cam
1031;Bushnell Trophy-Cam
1032;Bushnell Trophy-Cam
1033;Bushnell Trophy-Cam
1034;Reconyx HC500 Hyperfire
1035;Bushnell Trophy-Cam
1041;Reconyx HC500 Hyperfire
1042;Reconyx HC500 Hyperfire
1043;Bushnell Trophy-Cam
1044;Bushnell Trophy-Cam
1045;Bushnell Trophy-Cam
1051;Bushnell Trophy-Cam
1052;Bushnell Trophy-Cam
1053;Bushnell Trophy-Cam
1054;Bushnell Trophy-Cam
1061;Bushnell Trophy-Cam
1062;Bushnell Trophy-Cam
1063;Bushnell Trophy-Cam
1064;Bushnell Trophy-Cam
1065;Bushnell Trophy-Cam
2011;Bushnell Trophy-Cam
2012;Bushnell Trophy-Cam
2013;Bushnell Trophy-Cam
2014;Bushnell Trophy-Cam
2015;Bushnell Trophy-Cam
2021;Bushnell Trophy-Cam
2022;Bushnell Trophy-Cam
2023;Bushnell Trophy-Cam
2024;Bushnell Trophy-Cam
2031;Bushnell Trophy-Cam
2032;Reconyx HC500 Hyperfire
2033;Bushnell Trophy-Cam
2034;Bushnell Trophy-Cam
2035;Bushnell Trophy-Cam
2041;Bushnell Trophy-Cam
2042;Bushnell Trophy-Cam
2043;Bushnell Trophy-Cam
2044;Bushnell Trophy-Cam
2051;Bushnell Trophy-Cam
2052;Bushnell Trophy-Cam
2053;Bushnell Trophy-Cam
2054;Reconyx HC500 Hyperfire
2055;Bushnell Trophy-Cam
2061;Bushnell Trophy-Cam
2062;Bushnell Trophy-Cam
2063;Bushnell Trophy-Cam
2064;Bushnell Trophy-Cam
2065;Reconyx HC500 Hyperfire
2071;Reconyx HC500 Hyperfire
2072;Bushnell Trophy-Cam
2073;Bushnell Trophy-Cam
2074;Bushnell Trophy-Cam
2081;Bushnell Trophy-Cam
2082;Reconyx HC500 Hyperfire
2083;Bushnell Trophy-Cam
2084;Bushnell Trophy-Cam
2091;Bushnell Trophy-Cam
2092;Bushnell Trophy-Cam
2093;Bushnell Trophy-Cam
2094;Bushnell Trophy-Cam
2095;Bushnell Trophy-Cam
2101;Reconyx HC500 Hyperfire
2102;Bushnell Trophy-Cam
3011;Bushnell Trophy-Cam
3012;Bushnell Trophy-Cam
3013;Bushnell Trophy-Cam
3014;Bushnell Trophy-Cam
3015;Bushnell Trophy-Cam
3021;Reconyx HC500 Hyperfire
3022;Reconyx HC500 Hyperfire
3023;Bushnell Trophy-Cam
3024;Bushnell Trophy-Cam
3025;Bushnell Trophy-Cam
3031;Bushnell Trophy-Cam
3032;Reconyx HC500 Hyperfire
3033;Bushnell Trophy-Cam
3034;Bushnell Trophy-Cam
3035;Bushnell Trophy-Cam
3041;Reconyx HC500 Hyperfire
3042;Bushnell Trophy-Cam
3043;Bushnell Trophy-Cam
3044;Bushnell Trophy-Cam
3045;Bushnell Trophy-Cam
3051;Reconyx HC500 Hyperfire
3052;Bushnell Trophy-Cam
3053;Bushnell Trophy-Cam
3054;Bushnell Trophy-Cam
3055;Bushnell Trophy-Cam
3061;Bushnell Trophy-Cam
3062;Bushnell Trophy-Cam
3063;Bushnell Trophy-Cam
3064;Bushnell Trophy-Cam
3065;Bushnell Trophy-Cam
3071;Reconyx HC500 Hyperfire
3072;Bushnell Trophy-Cam
3073;Bushnell Trophy-Cam
3074;Bushnell Trophy-Cam
3075;Bushnell Trophy-Cam
3081;Bushnell Trophy-Cam
3082;Bushnell Trophy-Cam
3083;Bushnell Trophy-Cam
3084;Bushnell Trophy-Cam
3085;Bushnell Trophy-Cam
3091;Bushnell Trophy-Cam
3092;Bushnell Trophy-Cam
3093;Bushnell Trophy-Cam
3094;Bushnell Trophy-Cam
4011;Bushnell Trophy-Cam
4012;Bushnell Trophy-Cam
4013;Bushnell Trophy-Cam
4014;Bushnell Trophy-Cam
4015;Bushnell Trophy-Cam
4022;Bushnell Trophy-Cam
4023;Bushnell Trophy-Cam
4024;Bushnell Trophy-Cam
4031;Bushnell Trophy-Cam
4032;Bushnell Trophy-Cam
4033;Bushnell Trophy-Cam
4034;Bushnell Trophy-Cam
4035;Bushnell Trophy-Cam
4041;Bushnell Trophy-Cam
4042;Bushnell Trophy-Cam
4043;Bushnell Trophy-Cam
4044;Bushnell Trophy-Cam
4045;Bushnell Trophy-Cam
4051;Reconyx HC500 Hyperfire
4053;Bushnell Trophy-Cam
4054;Bushnell Trophy-Cam
5011;Bushnell Trophy-Cam
5012;Bushnell Trophy-Cam
5013;Bushnell Trophy-Cam
5014;Bushnell Trophy-Cam
5015;Bushnell Trophy-Cam
5021;Bushnell Trophy-Cam
5022;Bushnell Trophy-Cam
5023;Bushnell Trophy-Cam
5024;Bushnell Trophy-Cam
5025;Bushnell Trophy-Cam
5031;Bushnell Trophy-Cam
5032;Bushnell Trophy-Cam
5033;Bushnell Trophy-Cam
5034;Bushnell Trophy-Cam
5035;Bushnell Trophy-Cam
5041;Bushnell Trophy-Cam
5042;Bushnell Trophy-Cam
5043;Bushnell Trophy-Cam
5044;Bushnell Trophy-Cam
5045;Bushnell Trophy-Cam
5052;Bushnell Trophy-Cam
5053;Bushnell Trophy-Cam
5054;Bushnell Trophy-Cam
5055;Bushnell Trophy-Cam
5061;Bushnell Trophy-Cam
5062;Bushnell Trophy-Cam
5063;Bushnell Trophy-Cam
5064;Bushnell Trophy-Cam
5065;Bushnell Trophy-Cam
5072;Bushnell Trophy-Cam
5073;Bushnell Trophy-Cam
5074;Bushnell Trophy-Cam
5075;Bushnell Trophy-Cam
5081;Bushnell Trophy-Cam
5082;Bushnell Trophy-Cam
5083;Bushnell Trophy-Cam
5084;Bushnell Trophy-Cam
5085;Bushnell Trophy-Cam
5091;Bushnell Trophy-Cam
5092;Bushnell Trophy-Cam
5093;Bushnell Trophy-Cam
5094;Bushnell Trophy-Cam
5095;Bushnell Trophy-Cam
5101;Bushnell Trophy-Cam
5102;Bushnell Trophy-Cam
5103;Bushnell Trophy-Cam
5104;Bushnell Trophy-Cam
6011;Bushnell Trophy-Cam
6013;Bushnell Trophy-Cam
6021;Bushnell Trophy-Cam
6022;Bushnell Trophy-Cam
6023;Bushnell Trophy-Cam
6031;Bushnell Trophy-Cam
6032;Bushnell Trophy-Cam
6033;Bushnell Trophy-Cam
6034;Bushnell Trophy-Cam
6041;Bushnell Trophy-Cam
7011;Bushnell Trophy-Cam
7012;Bushnell Trophy-Cam
7013;Bushnell Trophy-Cam
7014;Bushnell Trophy-Cam
7015;Bushnell Trophy-Cam
7021;Bushnell Trophy-Cam
7022;Bushnell Trophy-Cam
7023;Bushnell Trophy-Cam
7025;Bushnell Trophy-Cam
7031;Bushnell Trophy-Cam
7032;Bushnell Trophy-Cam
7033;Bushnell Trophy-Cam
7034;Bushnell Trophy-Cam
7035;Bushnell Trophy-Cam
7041;Bushnell Trophy-Cam
7042;Bushnell Trophy-Cam
7045;Bushnell Trophy-Cam
7051;Bushnell Trophy-Cam
7052;Reconyx HC500 Hyperfire
7053;Bushnell Trophy-Cam
7054;Bushnell Trophy-Cam
7061;Bushnell Trophy-Cam
7062;Reconyx HC500 Hyperfire
7063;Bushnell Trophy-Cam
7064;Bushnell Trophy-Cam
7071;Bushnell Trophy-Cam
7072;Reconyx HC500 Hyperfire
7073;Bushnell Trophy-Cam
7074;Reconyx HC500 Hyperfire
7075;Bushnell Trophy-Cam
7081;Bushnell Trophy-Cam
7082;Bushnell Trophy-Cam
7083;Reconyx HC500 Hyperfire
7084;Bushnell Trophy-Cam
7085;Bushnell Trophy-Cam
7091;Bushnell Trophy-Cam
7093;Bushnell Trophy-Cam
7094;Bushnell Trophy-Cam
7095;Bushnell Trophy-Cam
7101;Bushnell Trophy-Cam
7102;Bushnell Trophy-Cam
7103;Bushnell Trophy-Cam
7104;Bushnell Trophy-Cam
7105;Bushnell Trophy-Cam
7111;Bushnell Trophy-Cam
7112;Reconyx HC500 Hyperfire
7113;Bushnell Trophy-Cam
7114;Bushnell Trophy-Cam
7115;Bushnell Trophy-Cam
8011;Bushnell Trophy-Cam
8012;Reconyx HC500 Hyperfire
8013;Bushnell Trophy-Cam
8014;Bushnell Trophy-Cam
8015;Bushnell Trophy-Cam
8021;Reconyx HC500 Hyperfire
8022;Bushnell Trophy-Cam
8023;Bushnell Trophy-Cam
8024;Bushnell Trophy-Cam
8025;Bushnell Trophy-Cam
8031;Bushnell Trophy-Cam
8032;Bushnell Trophy-Cam
8033;Reconyx HC500 Hyperfire
8034;Bushnell Trophy-Cam
8035;Bushnell Trophy-Cam
8041;Bushnell Trophy-Cam
8042;Bushnell Trophy-Cam
8043;Bushnell Trophy-Cam
8044;Reconyx HC500 Hyperfire
8045;Bushnell Trophy-Cam
8051;Bushnell Trophy-Cam
8052;Bushnell Trophy-Cam
8053;Bushnell Trophy-Cam
8054;Bushnell Trophy-Cam
8055;Bushnell Trophy-Cam
8061;Bushnell Trophy-Cam
8062;Bushnell Trophy-Cam
8063;Bushnell Trophy-Cam
8064;Bushnell Trophy-Cam
8071;Bushnell Trophy-Cam
8072;Bushnell Trophy-Cam
8073;Bushnell Trophy-Cam
8074;Bushnell Trophy-Cam
8075;Bushnell Trophy-Cam
8081;Bushnell Trophy-Cam
8082;Reconyx HC500 Hyperfire
8083;Bushnell Trophy-Cam
8084;Bushnell Trophy-Cam
8085;Bushnell Trophy-Cam
8092;Bushnell Trophy-Cam
8093;Bushnell Trophy-Cam
8094;Bushnell Trophy-Cam
8101;Bushnell Trophy-Cam
8102;Bushnell Trophy-Cam
8103;Bushnell Trophy-Cam
8104;Bushnell Trophy-Cam
ALE-T1-C1-288;Bushnell Trophy-Cam
ALE-T1-C2-850;Bushnell Trophy-Cam
ALE-T1-C3-2550;Bushnell Trophy-Cam
ALE-T1-C4-4800;Bushnell Trophy-Cam
ALE-T1-C5-5900;Bushnell Trophy-Cam
ALE-T2-C1-850;Bushnell Trophy-Cam
ALE-T2-C2-1500;Bushnell Trophy-Cam
ALE-T2-C3-2800;Bushnell Trophy-Cam
ALE-T2-C4-4200;Bushnell Trophy-Cam
ALE-T2-C5-6180;Bushnell Trophy-Cam
BEB-T1-C1-1000;Bushnell Trophy-Cam
BEB-T1-C3-2900;Bushnell Trophy-Cam
BEB-T1-C4-3800;Bushnell Trophy-Cam
BEB-T1-C5-5400;Bushnell Trophy-Cam
BEB-T1-C6-6200;Bushnell Trophy-Cam
BJS-T1-C1-1000;Bushnell Trophy-Cam
BJS-T1-C2-1700;Bushnell Trophy-Cam
BJS-T1-C3-2600;Bushnell Trophy-Cam
BJS-T1-C4-3800;Bushnell Trophy-Cam
BJS-T1-C5-4800;Bushnell Trophy-Cam
BJS-T1-C6-6000;Bushnell Trophy-Cam
BJS-T2-C1-750;Bushnell Trophy-Cam
BJS-T2-C2-1300;Bushnell Trophy-Cam
BJS-T2-C3-2200;Bushnell Trophy-Cam
BJS-T2-C4-3600;Bushnell Trophy-Cam
BJS-T2-C5-4700;Bushnell Trophy-Cam
BJS-T2-C6-5800;Bushnell Trophy-Cam
C1-T1-C1-1400;Bushnell Trophy-Cam
C1-T1-C1-330;Bushnell Trophy-Cam
C1-T1-C2-2000;Bushnell Trophy-Cam
C1-T1-C2-830;Bushnell Trophy-Cam
C1-T1-C3-1500;Bushnell Trophy-Cam
C1-T1-C3-2950;Bushnell Trophy-Cam
C1-T1-C4-2600;Bushnell Trophy-Cam
C1-T1-C4-4345;Bushnell Trophy-Cam
C1-T1-C5-6000;Bushnell Trophy-Cam
C1-T1-C5-6005;Bushnell Trophy-Cam
C1-T2-C1-1600;Bushnell Trophy-Cam
C1-T2-C1-600;Bushnell Trophy-Cam
C1-T2-C2-1200;Bushnell Trophy-Cam
C1-T2-C2-2240;Bushnell Trophy-Cam
C1-T2-C3-2000;Bushnell Trophy-Cam
C1-T2-C3-3140;Bushnell Trophy-Cam
C1-T2-C4-3400;Bushnell Trophy-Cam
C1-T2-C4-4400;Bushnell Trophy-Cam
C1-T2-C5-6500;Bushnell Trophy-Cam
C1-T3-C1-1370;Bushnell Trophy-Cam
C1-T3-C2-2000;Bushnell Trophy-Cam
C1-T3-C3-2450;Bushnell Trophy-Cam
C1-T3-C4-4000;Bushnell Trophy-Cam
C1-T3-C5-6000;Bushnell Trophy-Cam
C1-T4-C1-1500;Bushnell Trophy-Cam
C1-T4-C2-2250;Bushnell Trophy-Cam
C1-T4-C3-3070;Bushnell Trophy-Cam
C1-T4-C4-4280;Bushnell Trophy-Cam
C1-T4-C5-5700;Bushnell Trophy-Cam
C2-T1-C1-1280;Bushnell Trophy-Cam
C2-T1-C1-1900;Bushnell Trophy-Cam
C2-T1-C2-2050;Bushnell Trophy-Cam
C2-T1-C2-2500;Bushnell Trophy-Cam
C2-T1-C3-2950;Bushnell Trophy-Cam
C2-T1-C3-3400;Bushnell Trophy-Cam
C2-T1-C4-4000;Bushnell Trophy-Cam
C2-T1-C4-4300;Bushnell Trophy-Cam
C2-T1-C5-5800;Bushnell Trophy-Cam
C2-T1-C5-5900;Bushnell Trophy-Cam
C2-T2-C1-2300;Bushnell Trophy-Cam
C2-T2-C1-950;Bushnell Trophy-Cam
C2-T2-C2-1500;Bushnell Trophy-Cam
C2-T2-C2-3000;Bushnell Trophy-Cam
C2-T2-C3-2500;Bushnell Trophy-Cam
C2-T2-C3-3700;Bushnell Trophy-Cam
C2-T2-C4-4000;Bushnell Trophy-Cam
C2-T2-C4-4750;Bushnell Trophy-Cam
C2-T2-C5-6000;Bushnell Trophy-Cam
C2-T2-C5-6005;Bushnell Trophy-Cam
C2-T3-C1-1000;Bushnell Trophy-Cam
C2-T3-C1-700;Bushnell Trophy-Cam
C2-T3-C2-1300;Bushnell Trophy-Cam
C2-T3-C2-1600;Bushnell Trophy-Cam
C2-T3-C3-2330;Bushnell Trophy-Cam
C2-T3-C3-2500;Bushnell Trophy-Cam
C2-T3-C4-3800;Bushnell Trophy-Cam
C2-T3-C4-3850;Bushnell Trophy-Cam
C2-T3-C5-5100;Bushnell Trophy-Cam
C2-T3-C5-6000;Bushnell Trophy-Cam
C2-T4-C1-1050;Bushnell Trophy-Cam
C2-T4-C2-1500;Bushnell Trophy-Cam
C2-T4-C3-2500;Bushnell Trophy-Cam
C2-T4-C4-4000;Bushnell Trophy-Cam
C2-T4-C5-6320;Bushnell Trophy-Cam
C3-T1-C1-1500;Bushnell Trophy-Cam
C3-T1-C1-830;Bushnell Trophy-Cam
C3-T1-C2-1240;Bushnell Trophy-Cam
C3-T1-C2-2230;Bushnell Trophy-Cam
C3-T1-C3-2400;Bushnell Trophy-Cam
C3-T1-C3-3000;Bushnell Trophy-Cam
C3-T1-C4-3440;Bushnell Trophy-Cam
C3-T1-C4-4000;Bushnell Trophy-Cam
C3-T1-C5-4700;Bushnell Trophy-Cam
C3-T1-C5-6050;Bushnell Trophy-Cam
C3-T2-C1-200;Bushnell Trophy-Cam
C3-T2-C1-450;Bushnell Trophy-Cam
C3-T2-C2-1220;Bushnell Trophy-Cam
C3-T2-C2-550;Bushnell Trophy-Cam
C3-T2-C3-1300;Bushnell Trophy-Cam
C3-T2-C3-2020;Bushnell Trophy-Cam
C3-T2-C4-3000;Bushnell Trophy-Cam
C3-T2-C4-3700;Bushnell Trophy-Cam
C3-T2-C5-6000;Bushnell Trophy-Cam
C3-T3-C1-1450;Bushnell Trophy-Cam
