camera_id;RESEX;Entorno;Comunidade;distance
C3-T1-C3-2400;Cazumbá-iracema;sim;Repouso;2662.287875
C3-T2-C2-550;Cazumbá-iracema;sim;Repouso;1804.052935
C3-T1-C5-6050;Cazumbá-iracema;sim;Repouso;6348.465577
C3-T2-C4-3000;Cazumbá-iracema;sim;Repouso;4166.771795
C3-T2-C3-1300;Cazumbá-iracema;sim;Repouso;2498.04637
C2-T3-C4-3800;Cazumbá-iracema;sim;Lua Nova;3905.811368
C2-T3-C3-2500;Cazumbá-iracema;sim;Lua Nova;2428.880076
C2-T4-C1-1050;Cazumbá-iracema;sim;Panela;1244.980832
C2-T3-C5-5100;Cazumbá-iracema;sim;Lua Nova;5239.992796
C2-T4-C3-2500;Cazumbá-iracema;sim;Panela;2682.059957
C2-T4-C2-1500;Cazumbá-iracema;sim;Panela;1570.697385
C2-T4-C5-6320;Cazumbá-iracema;sim;Panela;6579.051994
C2-T4-C4-4000;Cazumbá-iracema;sim;Panela;4258.828122
C2-T2-C1-950;Cazumbá-iracema;sim;Lua Nova;704.1549267
C2-T1-C5-5800;Cazumbá-iracema;sim;Lua Nova;6056.188722
C2-T2-C3-2500;Cazumbá-iracema;sim;Lua Nova;2188.154779
C2-T2-C2-1500;Cazumbá-iracema;sim;Lua Nova;1209.684027
C2-T2-C5-6000;Cazumbá-iracema;sim;Lua Nova;5670.355979
C2-T2-C4-4000;Cazumbá-iracema;sim;Lua Nova;3650.280108
C2-T3-C2-1600;Cazumbá-iracema;sim;Lua Nova;1587.755432
C2-T3-C1-1000;Cazumbá-iracema;sim;Lua Nova;1012.938612
C1-T4-C3-3070;Cazumbá-iracema;sim;Providência;3071.148633
C1-T4-C2-2250;Cazumbá-iracema;sim;Providência;2284.712156
C1-T4-C5-5700;Cazumbá-iracema;sim;Providência;5805.769151
C1-T4-C4-4280;Cazumbá-iracema;sim;Providência;4382.312218
C2-T1-C2-2050;Cazumbá-iracema;sim;Lua Nova;2364.62575
C2-T1-C1-1280;Cazumbá-iracema;sim;Lua Nova;1569.960209
C2-T1-C4-4000;Cazumbá-iracema;sim;Lua Nova;3826.048091
C2-T1-C3-2950;Cazumbá-iracema;sim;Lua Nova;3046.161094
C1-T2-C5-6500;Cazumbá-iracema;sim;Providência;6657.422614
C1-T2-C4-3400;Cazumbá-iracema;sim;Providência;3548.264627
C1-T3-C2-2000;Cazumbá-iracema;sim;Providência;1941.016934
C1-T3-C1-1370;Cazumbá-iracema;sim;Providência;1299.265277
C1-T3-C4-4000;Cazumbá-iracema;sim;Providência;3892.879527
C1-T3-C3-2450;Cazumbá-iracema;sim;Providência;2436.777289
C1-T4-C1-1500;Cazumbá-iracema;sim;Providência;1418.060854
C1-T3-C5-6000;Cazumbá-iracema;sim;Providência;5659.434962
C1-T1-C2-830;Cazumbá-iracema;sim;Providência;938.0520831
C1-T1-C1-330;Cazumbá-iracema;sim;Providência;422.636811
C1-T1-C4-2600;Cazumbá-iracema;sim;Providência;2759.255859
C1-T1-C3-1500;Cazumbá-iracema;sim;Providência;1821.028607
C1-T2-C1-600;Cazumbá-iracema;sim;Providência;719.6597787
C1-T1-C5-6000;Cazumbá-iracema;sim;Providência;6147.171559
C1-T2-C3-2000;Cazumbá-iracema;sim;Providência;2114.713004
C1-T2-C2-1200;Cazumbá-iracema;sim;Providência;1337.563354
STA-T2-C5-5950;Arapixi;sim;Santa Amélia;5991.673807
STA-T2-C4-5000;Arapixi;sim;Santa Amélia;5026.410383
SJE-T3-C3-2700;Arapixi;não;Extrema;2827.034044
SJE-T4-C2-1070;Arapixi;não;Extrema;1101.704157
SJE-T4-C1-450;Arapixi;não;Extrema;379.5825682
SJE-T4-C4-3250;Arapixi;não;Extrema;3302.899074
SJE-T4-C3-1930;Arapixi;não;Extrema;1876.2861
SJE-T4-C6-6550;Arapixi;não;Extrema;6604.177612
RED-T3-C1-950;Cazumbá-iracema;não;Redenção;956.878352
RED-T1-C4-3850;Cazumbá-iracema;não;Redenção;3915.434627
RED-T2-C4-4380;Cazumbá-iracema;não;Redenção;4411.26838
RED-T2-C5-6200;Cazumbá-iracema;não;Redenção;6246.139108
RED-T3-C6-6100;Cazumbá-iracema;não;Redenção;6183.928881
RED-T2-C3-3050;Cazumbá-iracema;não;Redenção;3055.852712
RED-T3-C4-3550;Cazumbá-iracema;não;Redenção;3658.669227
RED-T3-C5-4500;Cazumbá-iracema;não;Redenção;4603.764478
RED-T3-C2-1700;Cazumbá-iracema;não;Redenção;1706.228991
RED-T3-C3-2500;Cazumbá-iracema;não;Redenção;2583.931828
RED-T1-C2-1500;Cazumbá-iracema;não;Redenção;1507.57972
RED-T1-C3-2550;Cazumbá-iracema;não;Redenção;2579.913156
RED-T2-C2-2100;Cazumbá-iracema;não;Redenção;2170.149638
RED-T1-C1-750;Cazumbá-iracema;não;Redenção;750.5711956
RED-T1-C5-6050;Cazumbá-iracema;não;Redenção;6203.517154
RED-T2-C1-1550;Cazumbá-iracema;não;Redenção;1573.316287
GRA-T3-C1-2100;Cazumbá-iracema;não;Granja;2141.46433
GRA-T2-C6-5600;Cazumbá-iracema;não;Granja;5635.023241
GRA-T3-C3-3100;Cazumbá-iracema;não;Granja;3111.509198
GRA-T3-C2-980;Cazumbá-iracema;não;Granja;972.8094295
GRA-T3-C5-4330;Cazumbá-iracema;não;Granja;4340.798839
GRA-T3-C4-4100;Cazumbá-iracema;não;Granja;4170.545984
C3-T2-C1-200;Cazumbá-iracema;sim;Repouso;1418.255397
GRA-T1-C4-4100;Cazumbá-iracema;não;Granja;4180.66048
GRA-T1-C3-2800;Cazumbá-iracema;não;Granja;2822.973337
GRA-T2-C1-2060;Cazumbá-iracema;não;Granja;2036.016879
GRA-T1-C5-6000;Cazumbá-iracema;não;Granja;6039.863263
GRA-T2-C3-4500;Cazumbá-iracema;não;Granja;4513.20647
GRA-T2-C2-3600;Cazumbá-iracema;não;Granja;3634.273365
GRA-T2-C5-1300;Cazumbá-iracema;não;Granja;1290.292724
GRA-T2-C4-6000;Cazumbá-iracema;não;Granja;5984.997709
CUI-T3-C2-2070;Cazumbá-iracema;não;Cuidado;2435.885515
CUI-T3-C1-1460;Cazumbá-iracema;não;Cuidado;1843.808779
CUI-T3-C4-4100;Cazumbá-iracema;não;Cuidado;4492.369852
CUI-T3-C3-3300;Cazumbá-iracema;não;Cuidado;3716.047064
CUI-T2-C6-7000;Cazumbá-iracema;não;Cuidado;7015.843044
CUI-T3-C5-5670;Cazumbá-iracema;não;Cuidado;5968.711069
GRA-T1-C2-1800;Cazumbá-iracema;não;Granja;1845.558697
GRA-T1-C1-1300;Cazumbá-iracema;não;Granja;1325.989512
CUI-T1-C4-2670;Cazumbá-iracema;não;Cuidado;2335.233389
CUI-T1-C3-1500;Cazumbá-iracema;não;Cuidado;1516.570943
CUI-T2-C1.2-2700;Cazumbá-iracema;não;Cuidado;2701.544414
CUI-T1-C5-4100;Cazumbá-iracema;não;Cuidado;3787.288915
CUI-T2-C2-3500;Cazumbá-iracema;não;Cuidado;3477.813397
CUI-T2-C1-900;Cazumbá-iracema;não;Cuidado;973.1996163
CUI-T2-C4-6500;Cazumbá-iracema;não;Cuidado;6475.951237
CUI-T2-C3-4600;Cazumbá-iracema;não;Cuidado;4537.991755
CAZ-T2-C5-6500;Cazumbá-iracema;não;Cazumbá;6370.229206
CAZ-T2-C4-4060;Cazumbá-iracema;não;Cazumbá;3835.425919
CAZ-T3-C2-2100;Cazumbá-iracema;não;Cazumbá;1717.265521
CAZ-T3-C1-1500;Cazumbá-iracema;não;Cazumbá;1150.265717
CAZ-T3-C4-4700;Cazumbá-iracema;não;Cazumbá;4363.347632
CAZ-T3-C3-3050;Cazumbá-iracema;não;Cazumbá;2692.740022
CUI-T1-C2-950;Cazumbá-iracema;não;Cuidado;963.0935468
CUI-T1-C1-500;Cazumbá-iracema;não;Cuidado;501.3306625
C4-T2-C5-6040;Cazumbá-iracema;sim;Apuí;6094.368474
C4-T2-C4-4950;Cazumbá-iracema;sim;Apuí;4991.871219
CAZ-T1-C2-680;Cazumbá-iracema;não;Cazumbá;854.4614149
CAZ-T1-C1-250;Cazumbá-iracema;não;Cazumbá;297.348997
CAZ-T2-C1-450;Cazumbá-iracema;não;Cazumbá;456.4058092
CAZ-T1-C3-1320;Cazumbá-iracema;não;Cazumbá;1559.092424
CAZ-T2-C3-2700;Cazumbá-iracema;não;Cazumbá;2461.705531
CAZ-T2-C2-2000;Cazumbá-iracema;não;Cazumbá;1713.519157
C4-T1-C2-1700;Cazumbá-iracema;sim;Jair;1708.088078
C4-T1-C1-1100;Cazumbá-iracema;sim;Jair;1172.900774
C4-T1-C4-3850;Cazumbá-iracema;sim;Jair;3876.977227
C4-T1-C3-2550;Cazumbá-iracema;sim;Jair;2538.355329
C4-T2-C1-1970;Cazumbá-iracema;sim;Apuí;1976.722878
C4-T1-C5-6000;Cazumbá-iracema;sim;Jair;6004.631484
C4-T2-C3-3950;Cazumbá-iracema;sim;Apuí;3995.178133
C4-T2-C2-3100;Cazumbá-iracema;sim;Apuí;3165.02538
MOI-T1-C1-475;Arapixi;não;Moisés;491.7988191
ROC-T1-C4-4880;Arapixi;sim;Rocha;4349.084792
NVA-T1-C5-5500;Arapixi;não;T;5645.769887
BEB-T1-C1-1000;Arapixi;sim;Bebé;1034.347795
BEB-T1-C4-3800;Arapixi;sim;Bebé;3834.418745
BEB-T1-C3-2900;Arapixi;sim;Bebé;2914.016512
BEB-T1-C6-6200;Arapixi;sim;Bebé;6264.527439
BEB-T1-C5-5400;Arapixi;sim;Bebé;5437.421299
MAN-T2-C4-3900;Arapixi;não;Manitiã;3540.50156
MAR-T1-C2-1600;Arapixi;não;Maracaju;3873.350389
MAR-T1-C1-1000;Arapixi;não;Maracaju;3370.221895
MAR-T1-C4-3900;Arapixi;não;Maracaju;6203.268006
MAR-T1-C3-2500;Arapixi;não;Maracaju;4773.68076
MAR-T1-C6-5400;Arapixi;não;Maracaju;7403.79726
MAR-T1-C5-5000;Arapixi;não;Maracaju;7244.134946
MOI-T1-C2-1300;Arapixi;não;Moisés;1383.681916
SFO-T2-C2-1550;Médio Purus;não;São Francisco;1546.107132
SFO-T2-C1-1000;Médio Purus;não;São Francisco;1126.820803
SFO-T2-C4-3750;Médio Purus;não;São Francisco;3788.36607
SFO-T2-C3-2400;Médio Purus;não;São Francisco;2382.393422
SFO-T2-C6-6000;Médio Purus;não;São Francisco;6008.796833
SFO-T2-C5-4760;Médio Purus;não;São Francisco;4794.054628
MAL-T1-C2-1100;Médio Purus;não;Maloca;1104.600325
REM-T1-C6-5600;Médio Purus;não;Remanso;5536.488009
LAG-T1-C2-1380;Arapixi;sim;Lago do Alfredo;1320.110172
LAG-T1-C1-800;Arapixi;sim;Lago do Alfredo;733.8050229
LAG-T1-C4-3550;Arapixi;sim;Lago do Alfredo;3607.253862
LAG-T1-C3-2400;Arapixi;sim;Lago do Alfredo;2393.162321
LAG-T1-C6-6070;Arapixi;sim;Lago do Alfredo;6166.319115
LAG-T1-C5-5000;Arapixi;sim;Lago do Alfredo;5106.000412
MAN-T1-C2-1450;Arapixi;não;Manitiã;1504.803962
MAN-T1-C1-680;Arapixi;não;Manitiã;728.1666589
LIM-T2-C6-4100;Médio Purus;não;Limeira;4252.312007
POR-T2-C1-2400;Médio Purus;não;Porongaba;2327.348855
LIM-T2-C8-6000;Médio Purus;não;Limeira;6049.731347
POR-T2-C3-3800;Médio Purus;não;Porongaba;3699.813706
POR-T2-C2-3000;Médio Purus;não;Porongaba;2836.037578
POR-T2-C5-3300;Médio Purus;não;Porongaba;3184.423397
POR-T2-C4-4100;Médio Purus;não;Porongaba;3960.084635
BJS-T1-C6-6000;Médio Purus;sim;Bom Jesus;5964.215161
CAP-T2-C4-4510;Médio Purus;sim;Capacini;1471.81566
CAP-T2-C3-600_2;Médio Purus;sim;Capacini;1213.444798
LIM-T2-C1-1000;Médio Purus;não;Limeira;1138.796303
LIM-T2-C3-2000;Médio Purus;não;Limeira;2135.604924
LIM-T2-C2-1500;Médio Purus;não;Limeira;1584.506411
LIM-T2-C5-3300;Médio Purus;não;Limeira;3356.445323
LIM-T2-C4-2600;Médio Purus;não;Limeira;2761.024461
LIM-T2-C7-5000;Médio Purus;não;Limeira;5059.571811
CAP-T1-C4-3750;Médio Purus;sim;Capacini;3461.061911
CAP-T1-C3-2500;Médio Purus;sim;Capacini;2319.081929
CAP-T1-C6-6000;Médio Purus;sim;Capacini;5727.24471
CAP-T1-C5-5000;Médio Purus;sim;Capacini;4805.589736
CAP-T2-C2-500_2;Médio Purus;sim;Capacini;1528.51848
CAP-T2-C1-620_1;Médio Purus;sim;Capacini;1216.285797
REM-T2-C2-1850;Médio Purus;não;Remanso;1809.334504
REM-T2-C1-1150;Médio Purus;não;Remanso;1171.277184
BJS-T1-C5-4800;Médio Purus;sim;Bom Jesus;4773.294623
BJS-T2-C2-1300;Médio Purus;sim;Bom Jesus;1273.819607
BJS-T2-C1-750;Médio Purus;sim;Bom Jesus;695.7080879
BJS-T2-C4-3600;Médio Purus;sim;Bom Jesus;3523.345506
BJS-T2-C3-2200;Médio Purus;sim;Bom Jesus;2116.32964
BJS-T2-C6-5800;Médio Purus;sim;Bom Jesus;5753.296958
BJS-T2-C5-4700;Médio Purus;sim;Bom Jesus;4674.191875
CAP-T1-C1-1000;Médio Purus;sim;Capacini;888.1917381
STA-T2-C3-2800;Arapixi;sim;Santa Amélia;2812.839242
SAN-T1-C5-2000;Arapixi;sim;Santana;1956.451627
SAN-T1-C4-1700;Arapixi;sim;Santana;1679.020712
SAN-T1-C1-3500;Arapixi;sim;Santana;3455.459487
SAN-T1-C6-1900;Arapixi;sim;Santana;1804.457451
SJE-T1-C2-1900;Arapixi;não;S;1955.415611
SJE-T1-C1-1200;Arapixi;não;S;1193.412591
SJE-T1-C4-3900;Arapixi;não;S;3924.185054
SJE-T4-C5-5500;Arapixi;não;Extrema;5563.247977
STA-T1-C2-1750;Arapixi;sim;Santa Amélia;1759.565562
STA-T1-C1-1170;Arapixi;sim;Santa Amélia;1175.513484
STA-T1-C4-4200;Arapixi;sim;Santa Amélia;4243.269659
STA-T1-C3-2700;Arapixi;sim;Santa Amélia;2741.805263
STA-T2-C1-2250;Arapixi;sim;Santa Amélia;2274.717523
STA-T1-C5-6200;Arapixi;sim;Santa Amélia;6259.638694
STA-T2-C2-2900;Arapixi;sim;Santa Amélia;2932.739708
SJE-T3-C1-1150;Arapixi;não;Extrema;1232.013331
NVA-T3-C5-5800;Arapixi;não;Nova Amélia;5842.440172
NVA-T3-C4-4900;Arapixi;não;Nova Amélia;4986.92067
ROC-T2-C2-1850;Arapixi;sim;Rocha;1845.290424
ROC-T2-C1-1150;Arapixi;sim;Rocha;1169.469903
ROC-T1-C3-4070;Arapixi;sim;Rocha;3910.556612
ROC-T2-C3-2780;Arapixi;sim;Rocha;2785.269673
ROC-T2-C4-5400;Arapixi;sim;Rocha;5091.007869
SJE-T1-C3-2600;Arapixi;não;S;2609.035914
SJE-T2-C1-650;Arapixi;não;Extrema;726.7865182
SJE-T1-C5-5100;Arapixi;não;S;5116.935838
SJE-T2-C3-2250;Arapixi;não;Extrema;2325.669725
SJE-T2-C2-1420;Arapixi;não;Extrema;1497.974682
SJE-T2-C5-6070;Arapixi;não;Extrema;6172.560575
SJE-T2-C4-3700;Arapixi;não;Extrema;3755.080357
SJE-T3-C2-1900;Arapixi;não;Extrema;2026.693072
SAN-T1-C2-3000;Arapixi;sim;Santana;2956.089501
MOI-T1-C4-3500;Arapixi;não;Moisés;3575.726299
MOI-T1-C3-2300;Arapixi;não;Moisés;2380.234394
MOI-T1-C6-5700;Arapixi;não;Moisés;5828.003152
MOI-T1-C5-4600;Arapixi;não;Moisés;4705.212097
NVA-T1-C2-1100;Arapixi;não;T;1337.068032
NVA-T1-C1-500;Arapixi;não;T;719.4176139
NVA-T1-C4-3250;Arapixi;não;T;3463.566996
ROC-T1-C5-6050;Arapixi;sim;Rocha;5262.808086
ROC-T3-C1-500;Arapixi;não;V;794.6091888
ROC-T2-C5-6000;Arapixi;sim;Rocha;5650.720239
ROC-T3-C3-2770;Arapixi;não;V;3089.933337
ROC-T3-C2-1500;Arapixi;não;V;1902.519861
ROC-T3-C5-5000;Arapixi;não;V;5372.629068
ROC-T3-C4-3500;Arapixi;não;V;3805.954105
SAN-T1-C3-2500;Arapixi;sim;Santana;2445.835135
NVA-T3-C2-3050;Arapixi;não;Nova Amélia;3123.723382
MAN-T1-C4-3550;Arapixi;não;Manitiã;3583.164978
MAN-T1-C3-2150;Arapixi;não;Manitiã;2175.706855
MAN-T2-C1-1700;Arapixi;não;Manitiã;1739.45092
MAN-T1-C5-6000;Arapixi;não;Manitiã;6046.36747
MAN-T2-C3-3300;Arapixi;não;Manitiã;3360.300459
MAN-T2-C2-2500;Arapixi;não;Manitiã;2583.399918
MAN-T2-C5-4600;Arapixi;não;Manitiã;4560.364365
NVA-T1-C3-2000;Arapixi;não;T;2190.888284
NVA-T2-C5-4000;Arapixi;não;U;3915.294976
NVA-T2-C4-3250;Arapixi;não;U;3255.292568
NVA-T2-C2-1250;Arapixi;não;U;1262.973604
NVA-T2-C1-490;Arapixi;não;U;497.3078276
NVA-T3-C1-2390;Arapixi;não;Nova Amélia;2411.83298
NVA-T2-C3-1950;Arapixi;não;U;1997.362527
NVA-T3-C3-3750;Arapixi;não;Nova Amélia;3813.526662
5041;RDA;não;Matura;12421.32872
5042;RDA;não;Matura;12537.37952
5043;RDA;não;Matura;12648.14356
5044;RDA;não;Matura;12662.35392
5045;RDA;não;Matura;12165.11814
5052;RDA;não;FORTUNA;3509.531805
5053;RDA;não;FORTUNA;4161.489997
5054;RDA;não;FORTUNA;5620.828523
5023;RDA;não;Sororoca;2089.793087
5024;RDA;não;Sororoca;4093.549676
5025;RDA;não;Sororoca;6494.915404
5031;RDA;não;Matura;13462.07678
5032;RDA;não;Matura;13704.99018
5033;RDA;não;Matura;13534.33582
5034;RDA;não;Matura;12782.8385
5035;RDA;não;Matura;11942.21869
5074;RDA;não;Pupuai;4771.904897
5075;RDA;não;Pupuai;7734.714401
5081;RDA;sim;F;6666.677344
5082;RDA;sim;F;6580.490798
5083;RDA;sim;F;6533.805498
5084;RDA;sim;F;6924.278834
5085;RDA;sim;F;9467.682401
5091;RDA;sim;H;5805.510864
5055;RDA;não;FORTUNA;7727.852677
5061;RDA;não;ROQUE;1885.811525
5062;RDA;não;ROQUE;2157.639958
5063;RDA;não;ROQUE;2806.212774
5064;RDA;não;ROQUE;4775.374489
5065;RDA;não;ROQUE;7786.564424
5072;RDA;não;Pupuai;2075.854989
5073;RDA;não;Pupuai;2707.159689
7011;RDU;sim;sao jose do uatuma;1583.302913
7012;RDU;sim;sao jose do uatuma;1827.695814
7013;RDU;sim;sao jose do uatuma;2182.55345
7014;RDU;sim;sao jose do uatuma;4493.867079
7015;RDU;sim;sao jose do uatuma;7488.722411
7021;RDU;sim;M;565.1106219
7022;RDU;sim;M;851.6198947
7023;RDU;sim;M;1511.569302
5092;RDA;sim;H;6100.140347
5093;RDA;sim;H;6742.25265
5094;RDA;sim;H;8175.058145
5095;RDA;sim;H;10547.84667
5101;RDA;sim;Cara_1;2220.078773
5102;RDA;sim;Cara_1;2487.682281
5103;RDA;sim;Cara_1;3145.481957
5104;RDA;sim;Cara_1;5131.153429
7045;RDU;não;tucumaiduba;6620.460786
7051;RDU;não;N;5303.17647
7052;RDU;não;N;5398.90943
7053;RDU;não;N;5722.064989
7054;RDU;não;N;7302.928108
7061;RDU;não;flechal;599.7062868
7062;RDU;não;flechal;925.0791374
7063;RDU;não;flechal;1556.497243
7025;RDU;sim;M;4667.767579
7031;RDU;sim;macacaboi;1187.64915
7032;RDU;sim;macacaboi;1466.055151
7033;RDU;sim;macacaboi;2139.11054
7034;RDU;sim;macacaboi;3589.025735
7035;RDU;sim;macacaboi;6132.202065
7041;RDU;não;tucumaiduba;1180.504023
7042;RDU;não;tucumaiduba;1467.568157
3042;RDA;sim;Carauari pe da terra;1940.350335
3043;RDA;sim;Carauari pe da terra;2564.561504
3044;RDA;sim;Carauari pe da terra;4643.958445
3045;RDA;sim;Carauari pe da terra;7639.533662
3051;RDA;sim;I;4843.947583
3052;RDA;sim;I;5153.523472
3053;RDA;sim;I;5818.167413
3054;RDA;sim;I;7845.23454
3024;RDA;sim;J;3949.673644
3025;RDA;sim;J;6994.985339
3031;RDA;sim;L;1255.440264
3032;RDA;sim;L;1489.398851
3033;RDA;sim;L;2227.066981
3034;RDA;sim;L;4209.903442
3035;RDA;sim;L;7137.250722
3041;RDA;sim;Carauari pe da terra;1647.940273
3073;RDA;não;Xibauazinho;4672.694476
3074;RDA;não;Xibauazinho;6701.915631
3075;RDA;não;Xibauazinho;9672.054854
3081;RDA;não;Xibaua;803.6201862
3082;RDA;não;Xibaua;1108.976088
3083;RDA;não;Xibaua;1808.631129
3084;RDA;não;Xibaua;3754.920576
3085;RDA;não;Xibaua;5812.609023
3055;RDA;sim;I;10794.18717
3061;RDA;não;Bonfim;4368.578009
3062;RDA;não;Bonfim;4457.681671
3063;RDA;não;Bonfim;5337.247017
3064;RDA;não;Bonfim;7281.070108
3065;RDA;não;Bonfim;9642.147169
3071;RDA;não;Xibauazinho;3745.169166
3072;RDA;não;Xibauazinho;4059.732971
4015;RDA;não;Sao Jose (Anaxiqui);7562.495532
4022;RDA;não;B;4662.923714
4023;RDA;não;B;5304.839916
4024;RDA;não;B;7474.290821
4031;RDA;não;X;7480.349407
4032;RDA;não;X;7772.665756
4033;RDA;não;X;8393.276247
4034;RDA;não;X;10354.41615
3091;RDA;não;Carocal;8021.29146
3092;RDA;não;Carocal;8115.206359
