camera_id;RESEX;Entorno;Comunidade;desmat
GRA-T3-C1-2100;Cazumbá-iracema;não;Granja;11485.50178
GRA-T3-C2-980;Cazumbá-iracema;não;Granja;207275.7353
C3-T2-C1-200;Cazumbá-iracema;sim;Repouso;79411.93181
RED-T3-C2-1700;Cazumbá-iracema;não;Redenção;51456.98583
RED-T1-C2-1500;Cazumbá-iracema;não;Redenção;141671.6478
RED-T1-C1-750;Cazumbá-iracema;não;Redenção;329858.0972
RED-T1-C5-6050;Cazumbá-iracema;não;Redenção;13606.09766
RED-T2-C1-1550;Cazumbá-iracema;não;Redenção;70312.94182
CUI-T3-C2-2070;Cazumbá-iracema;não;Cuidado;4759.973959
CUI-T3-C1-1460;Cazumbá-iracema;não;Cuidado;243455.7943
CUI-T3-C4-4100;Cazumbá-iracema;não;Cuidado;17430.03412
CUI-T3-C3-3300;Cazumbá-iracema;não;Cuidado;174302.2109
CUI-T3-C5-5670;Cazumbá-iracema;não;Cuidado;26876.40007
GRA-T1-C1-1300;Cazumbá-iracema;não;Granja;66249.44423
GRA-T2-C1-2060;Cazumbá-iracema;não;Granja;36947.33719
GRA-T2-C2-3600;Cazumbá-iracema;não;Granja;63507.22414
GRA-T2-C5-1300;Cazumbá-iracema;não;Granja;331149.3919
CAZ-T2-C4-4060;Cazumbá-iracema;não;Cazumbá;198488.9634
CAZ-T3-C2-2100;Cazumbá-iracema;não;Cazumbá;119105.9005
CAZ-T3-C1-1500;Cazumbá-iracema;não;Cazumbá;352123.0069
CAZ-T3-C3-3050;Cazumbá-iracema;não;Cazumbá;55328.14945
CUI-T1-C2-950;Cazumbá-iracema;não;Cuidado;265036.0648
CUI-T1-C1-500;Cazumbá-iracema;não;Cuidado;591132.9036
CUI-T1-C3-1500;Cazumbá-iracema;não;Cuidado;4229.218249
CUI-T2-C1.2-2700;Cazumbá-iracema;não;Cuidado;119015.6848
CUI-T2-C2-3500;Cazumbá-iracema;não;Cuidado;132211.6016
CUI-T2-C1-900;Cazumbá-iracema;não;Cuidado;308873.1491
C4-T1-C1-1100;Cazumbá-iracema;sim;Jair;56943.75253
C4-T1-C4-3850;Cazumbá-iracema;sim;Jair;32533.46924
C4-T2-C1-1970;Cazumbá-iracema;sim;Apuí;597307.1646
C4-T2-C2-3100;Cazumbá-iracema;sim;Apuí;306599.412
CAZ-T1-C2-680;Cazumbá-iracema;não;Cazumbá;321588.0322
CAZ-T1-C1-250;Cazumbá-iracema;não;Cazumbá;583170.5977
CAZ-T2-C1-450;Cazumbá-iracema;não;Cazumbá;654457.7031
CAZ-T1-C3-1320;Cazumbá-iracema;não;Cazumbá;83812.9294
CAZ-T2-C2-2000;Cazumbá-iracema;não;Cazumbá;165997.8713
C2-T3-C3-2500;Cazumbá-iracema;sim;Lua Nova;177054.5837
C2-T4-C1-1050;Cazumbá-iracema;sim;Panela;348122.623
C2-T4-C3-2500;Cazumbá-iracema;sim;Panela;221373.8974
C2-T4-C2-1500;Cazumbá-iracema;sim;Panela;323066.0448
C3-T1-C2-1240;Cazumbá-iracema;sim;Repouso;155521.4141
C3-T1-C1-830;Cazumbá-iracema;sim;Repouso;289873.7334
C3-T1-C4-3440;Cazumbá-iracema;sim;Repouso;142984.7982
C3-T2-C2-550;Cazumbá-iracema;sim;Repouso;1856.660311
C1-T4-C3-3070;Cazumbá-iracema;sim;Providência;11758.51781
C2-T1-C2-2050;Cazumbá-iracema;sim;Lua Nova;74473.76971
C2-T1-C1-1280;Cazumbá-iracema;sim;Lua Nova;543646.1768
C2-T2-C1-950;Cazumbá-iracema;sim;Lua Nova;120605.1075
C2-T1-C5-5800;Cazumbá-iracema;sim;Lua Nova;158104.1465
C2-T2-C3-2500;Cazumbá-iracema;sim;Lua Nova;41373.14848
C2-T2-C2-1500;Cazumbá-iracema;sim;Lua Nova;32022.62779
C2-T2-C4-4000;Cazumbá-iracema;sim;Lua Nova;426838.2379
C2-T3-C2-1600;Cazumbá-iracema;sim;Lua Nova;394162.6121
C2-T3-C1-1000;Cazumbá-iracema;sim;Lua Nova;544335.1236
C1-T1-C2-830;Cazumbá-iracema;sim;Providência;175652.3375
C1-T1-C1-330;Cazumbá-iracema;sim;Providência;352221.9485
C1-T1-C4-2600;Cazumbá-iracema;sim;Providência;91224.70501
C1-T1-C3-1500;Cazumbá-iracema;sim;Providência;49425.23186
C1-T2-C1-600;Cazumbá-iracema;sim;Providência;369893.9107
C1-T2-C2-1200;Cazumbá-iracema;sim;Providência;201643.0387
C1-T2-C4-3400;Cazumbá-iracema;sim;Providência;165243.5941
C1-T3-C2-2000;Cazumbá-iracema;sim;Providência;369943.6351
C1-T3-C1-1370;Cazumbá-iracema;sim;Providência;391300.3483
C1-T3-C3-2450;Cazumbá-iracema;sim;Providência;284059.9222
C1-T4-C1-1500;Cazumbá-iracema;sim;Providência;128202.8329
C1-T3-C5-6000;Cazumbá-iracema;sim;Providência;148601.7774
RED-T3-C1-950;Cazumbá-iracema;não;Redenção;290084.0336
RED-T2-C5-6200;Cazumbá-iracema;não;Redenção;9399.660148
RED-T3-C6-6100;Cazumbá-iracema;não;Redenção;73138.73604
RED-T3-C4-3550;Cazumbá-iracema;não;Redenção;35657.36023
SJE-T4-C1-450;Arapixi;não;Extrema;246498.743
STA-T1-C2-1750;Arapixi;sim;Santa Amélia;11461.0028
STA-T1-C1-1170;Arapixi;sim;Santa Amélia;98379.85448
SAN-T1-C5-2000;Arapixi;sim;Santana;157520.018
SAN-T1-C4-1700;Arapixi;sim;Santana;441.001038
SAN-T1-C6-1900;Arapixi;sim;Santana;421488.2066
SJE-T1-C1-1200;Arapixi;não;S;233072.3608
SJE-T2-C1-650;Arapixi;não;Extrema;55537.67101
SAN-T1-C3-2500;Arapixi;sim;Santana;206946.3438
MOI-T1-C4-3500;Arapixi;não;Moisés;102870.7674
MOI-T1-C6-5700;Arapixi;não;Moisés;154350.1703
MOI-T1-C5-4600;Arapixi;não;Moisés;17105.91111
NVA-T2-C2-1250;Arapixi;não;U;75150.69725
NVA-T2-C1-490;Arapixi;não;U;10803.64019
MAN-T2-C1-1700;Arapixi;não;Manitiã;138331.5902
MAR-T1-C1-1000;Arapixi;não;Maracaju;263399.7819
MOI-T1-C2-1300;Arapixi;não;Moisés;244471.8839
MOI-T1-C1-475;Arapixi;não;Moisés;164178.5994
BEB-T1-C1-1000;Arapixi;sim;Bebé;365289.8084
BEB-T1-C4-3800;Arapixi;sim;Bebé;7403.990482
BEB-T1-C3-2900;Arapixi;sim;Bebé;491784.6095
BEB-T1-C5-5400;Arapixi;sim;Bebé;102518.7258
LAG-T1-C2-1380;Arapixi;sim;Lago do Alfredo;30102.67338
LAG-T1-C1-800;Arapixi;sim;Lago do Alfredo;319002.3352
LAG-T1-C6-6070;Arapixi;sim;Lago do Alfredo;55155.43973
LAG-T1-C5-5000;Arapixi;sim;Lago do Alfredo;21641.44894
MAN-T1-C2-1450;Arapixi;não;Manitiã;39497.82195
MAN-T1-C1-680;Arapixi;não;Manitiã;71663.1047
CAP-T2-C3-600_2;Médio Purus;sim;Capacini;8430.185998
LIM-T2-C1-1000;Médio Purus;não;Limeira;514888.333
LIM-T2-C3-2000;Médio Purus;não;Limeira;210774.5177
LIM-T2-C2-1500;Médio Purus;não;Limeira;301872.0271
LIM-T2-C4-2600;Médio Purus;não;Limeira;4760.142776
CAP-T1-C1-1000;Médio Purus;sim;Capacini;79463.65735
CAP-T2-C1-620_1;Médio Purus;sim;Capacini;127153.0693
LIM-T1-C2-2400;Médio Purus;não;Limeira;120.2613261
LIM-T1-C1-1800;Médio Purus;não;Limeira;172184.0902
CAP-T3-C3-1700;Médio Purus;sim;Capacini;119629.5782
CAP-T3-C2-1000;Médio Purus;sim;Capacini;515935.9601
CAP-T3-C1-300;Médio Purus;sim;Capacini;566811.8897
CAP-T3-C4-2000;Médio Purus;sim;Capacini;127003.9335
MAP-T2-C1-2500;Riozinho_Liberdade;não;Mapes_2;131858.2665
C2-T3-C1-700;Riozinho_Liberdade;sim;São João;120832.8982
C3-T3-C1-1450;Riozinho_Liberdade;sim;São José;164950.4164
C3-T2-C2-1220;Riozinho_Liberdade;sim;São José;308461.0147
C3-T2-C1-450;Riozinho_Liberdade;sim;São José;454207.5508
C4-T3-C1-950;Riozinho_Liberdade;sim;São Luiz;68994.99923
C4-T2-C1-1600;Riozinho_Liberdade;sim;São Luiz_2;145633.7352
C4-T1-C2-2880;Riozinho_Liberdade;sim;São Luiz;99931.95427
C4-T1-C3-3400;Riozinho_Liberdade;sim;São Luiz;63261.21487
MAP-T1-C3-2560;Riozinho_Liberdade;não;Mapes;21818.56527
MAP-T1-C1-1100;Riozinho_Liberdade;não;Mapes;462770.9128
MOR-T2-C1-700;Riozinho_Liberdade;não;Morro da Pedra;314654.4944
MOR-T1-C1-800;Riozinho_Liberdade;não;Morro da Pedra;61418.60251
LIM-T1-C1-770;Riozinho_Liberdade;não;Limão;237513.2459
LIM-T1-C2-1300;Riozinho_Liberdade;não;Limão;87236.06343
PER-T4-C1-1350;Riozinho_Liberdade;não;Periquito;124159.3231
PER-T3-C1-400;Riozinho_Liberdade;não;Periquito;5281.260859
PER-T2-C1-550;Riozinho_Liberdade;não;Periquito;25835.68403
PER-T1-C1-1080;Riozinho_Liberdade;não;Periquito;76043.54653
ALE-T2-C1-850;Riozinho_Liberdade;não;Alegria;244699.1356
ALE-T2-C3-2800;Riozinho_Liberdade;não;Alegria;25182.42727
ALE-T2-C2-1500;Riozinho_Liberdade;não;Alegria;201854.0785
ALE-T2-C5-6180;Riozinho_Liberdade;não;Alegria;60259.48804
ALE-T1-C2-850;Riozinho_Liberdade;não;Alegria_2;311804.4566
ALE-T1-C1-288;Riozinho_Liberdade;não;Alegria_2;286399.497
ALE-T1-C3-2550;Riozinho_Liberdade;não;Alegria_2;10666.36823
1031;RDA;não;Bom Jesus Jurua;345076.9568
1032;RDA;não;Bom Jesus Jurua;95475.43493
1033;RDA;não;Bom Jesus Jurua;213671.3687
1035;RDA;não;Bom Jesus Jurua;17895.52136
1051;RDA;não;Novo Unaci;221041.5797
1052;RDA;não;Novo Unaci;56301.86104
1061;RDA;não;Sao Raimundo;425675.8665
1062;RDA;não;Sao Raimundo;184203.0542
2011;RDA;sim;H;38084.53626
2021;RDA;sim;G;137510.1191
2022;RDA;sim;G;57488.96833
2031;RDA;não;Z;254058.8907
2032;RDA;não;Z;54536.81484
2071;RDA;não;ROQUE;218867.2676
2072;RDA;não;ROQUE;65899.4319
2081;RDA;não;E;148453.6966
2082;RDA;não;E;6887.127906
2101;RDA;não;Imperatrix;103626.243
2102;RDA;não;Imperatrix;91560.73219
3011;RDA;sim;Carauari Riozinho;320833.5217
3012;RDA;sim;Carauari Riozinho;174119.0171
3013;RDA;sim;Carauari Riozinho;126541.7679
3021;RDA;sim;J;205925.4459
3022;RDA;sim;J;26335.57319
3031;RDA;sim;L;148137.0399
3032;RDA;sim;L;85165.86814
3041;RDA;sim;Carauari pe da terra;154970.1189
3042;RDA;sim;Carauari pe da terra;37681.11412
3051;RDA;sim;I;103372.7362
3073;RDA;não;Xibauazinho;42933.46368
3081;RDA;não;Xibaua;273799.2329
3082;RDA;não;Xibaua;114582.3057
3091;RDA;não;Carocal;8010.178983
3092;RDA;não;Carocal;35972.41016
3093;RDA;não;Carocal;38365.88587
4022;RDA;não;B;323431.9429
4031;RDA;não;X;6714.329107
5031;RDA;não;Matura;134006.2308
5032;RDA;não;Matura;64722.67603
5061;RDA;não;ROQUE;205749.2303
5062;RDA;não;ROQUE;10044.04883
5072;RDA;não;Pupuai;56575.74099
5081;RDA;sim;F;110857.9914
5082;RDA;sim;F;2886.669858
5101;RDA;sim;Cara_1;214022.9094
5102;RDA;sim;Cara_1;56900.05493
7011;RDU;sim;sao jose do uatuma;149410.1791
7012;RDU;sim;sao jose do uatuma;41442.23832
7021;RDU;sim;M;360539.9509
7022;RDU;sim;M;191135.611
7041;RDU;não;tucumaiduba;69157.69156
7042;RDU;não;tucumaiduba;71.4172344
7051;RDU;não;N;25118.16999
7061;RDU;não;flechal;148163.956
7062;RDU;não;flechal;21647.3821
7071;RDU;não;R;127528.9557
7072;RDU;não;R;19479.16221
7101;RDU;não;sta lucia jacarequar;4472.978483
7111;RDU;não;O;246539.1286
7112;RDU;não;O;58444.472
8051;RDU;não;nossa sra de fatima;81420.94182
8052;RDU;não;nossa sra de fatima;9142.910011
8061;RDU;sim;sao francisco_3;2856.362732
8062;RDU;sim;sao francisco_3;47245.00071
8063;RDU;sim;sao francisco_3;150626.7308
8071;RDU;sim;monte siao_1;142526.6612
8072;RDU;sim;monte siao_1;112438.4444
8073;RDU;sim;monte siao_1;168689.3376
8074;RDU;sim;monte siao_1;94214.61342
8081;RDU;sim;Q;296110.5869
8082;RDU;sim;Q;215096.4345
8083;RDU;sim;Q;31171.33616
8092;RDU;sim;sao francisco_2;155170.2755
8093;RDU;sim;sao francisco_2;82852.89681
8101;RDU;sim;ig do raimundo;152544.926
8102;RDU;sim;ig do raimundo;120673.4399
8103;RDU;sim;ig do raimundo;14598.50641
6011;RDA;sim;I;507498.8249
6013;RDA;sim;I;445541.8671
6021;RDA;não;Bareira do ido;300119.6212
6022;RDA;não;Bareira do ido;289984.073
6031;RDA;não;BAUANA;462062.4315
6032;RDA;não;BAUANA;428029.1472
6033;RDA;não;BAUANA;419857.9368
6041;RDA;não;6041;675767.1051