Scientific name,English name,Trophic guild - original,Trophic guild,Guild
Tapirus terrestris,anta,Browser-Frugivorous,Frugivore,1
Panthera onca,onca.p,Carnivore,Carnivore,2
Puma concolor,onca.v,Carnivore,Carnivore,2
Tayassu pecari,queixada,Frugivore-Browser,Frugivore,1
Mazama americana,vermelho,Frugivore-Browser,Frugivore,1
Priodontes maximus,canastra,Insectivore,Insectivore,3
Pecari tajacu,catitu,Frugivore-Browser,Frugivore,1
Mazama nemorivaga,cinza,Frugivore-Browser,Frugivore,1
Leopardus pardalis,m.acu,Carnivore,Carnivore,2
Cuniculus paca,paca,Frugivore-Browser,Frugivore,1
Puma yagouaroundi,m.preto,Carnivore,Carnivore,2
Leopardus wiedii,m.peludo,Carnivore,Carnivore,2
Nasua nasua,coati,Frugivore-Omnivorous,Frugivore,1
Dasyprocta spp.,cutia,Frugivore-Granivore,Frugivore,1
Nonspecific cingulata small,tatu,Insectivore-Omnivorous,Insectivore,3
Hadrosciurus spadiceus,catipuru,Granivore-Frugivore,Granivore,4
Myrmecophaga tridactyla,bandeira,Insectivore,Insectivore,3
Atelocynus microtis,atelocynus,Carnivore,Carnivore,2
Speothos venaticus,vinagre,Carnivore,Carnivore,2
Procyon cancrivorus,procyon,Frugivore-Omnivorous,Frugivore,1
Eira barbara,irara,Frugivore-Omnivorous,Frugivore,1
Tamandua tetradactyla,mambira,Insectivore,Insectivore,3
Didelphis marsupialis,mucura,Frugivore-Omnivorous,Frugivore,1
Myoprocta spp.,cutiara,Frugivore-Granivore,Frugivore,1
Mitu or Crax spp.,mutum,Frugivore,Frugivore,1
Penelope jacquacu,jacu,Frugivore,Frugivore,1
Psophia spp.,jacamim,Frugivore-Insectivore,Frugivore,1
Tinamus spp.,nambu,Granivore-frugivore,Granivore,4
Crypturellus spp.,crypturellus,Granivore-frugivore,Granivore,4